transcription_factor,ensembl_id,ebi_complex_ac,uniprot_ac,PWM_id,SEM,SEM_baseline,cell_type,neg_log10_pval,chip_ENCODE_accession,dnase_ENCODE_accession,PWM_source
AHR,ENSG00000106546,,P35869,M00778,M00778.sem,-0.671761,HepG2,18.35095,ENCFF242PUG,ENCFF001UVU,TRANSFAC
AHR:ARNT:HIF1A,ENSG00000106546;ENSG00000143437;ENSG00000100644,,P35869;P27540;Q16665,M00976,M00976.sem,-0.593801,HepG2,14.29019,ENCFF242PUG,ENCFF001UVU,TRANSFAC
ARID3A,ENSG00000116017,,Q99856,MA0151.1,MA0151.1.sem,-0.402088,HepG2,2.980258,ENCFF460WFF,ENCFF001UVU,JASPAR
ARNT,ENSG00000143437,,P27540,ARNT_HUMAN.H11MO.0.B,ARNT_HUMAN.GM12878.sem,-1.863260376,GM12878,12.08116,ENCFF538DNI,ENCFF759OLD,HOCOMOCOv11
ARNTL,ENSG00000133794,,O00327,BMAL1_HUMAN.H11MO.0.A,BMAL1_HUMAN.HepG2.sem,-1.597719394,HepG2,20.22084,ENCFF363NHH,ENCFF897NME,HOCOMOCOv11
ATF1,ENSG00000123268,,P18846,ATF1_HUMAN.H11MO.0.B,ATF1_HUMAN.K562.sem,-2.971885535,K562,56.05668,ENCFF885JPB,ENCFF274YGF,HOCOMOCOv11
ATF2,ENSG00000115966,,P15336,ATF2_HUMAN.H11MO.0.B,ATF2_HUMAN.HepG2.sem,-1.418693009,HepG2,27.82121,ENCFF899JAX,ENCFF897NME,HOCOMOCOv11
ATF2:JUN,ENSG00000115966;ENSG00000177606,CPX-6420,P15336;P05412,M00041,M00041.sem,-3.684298,HepG2,8.241512,ENCFF927QKB,ENCFF001UVU,TRANSFAC
ATF3,ENSG00000162772,,P18847,ATF3_HUMAN.H11MO.0.A,ATF3_HUMAN.HepG2.sem,-2.158868739,HepG2,14.61853,ENCFF197JBM,ENCFF897NME,HOCOMOCOv11
ATF4,ENSG00000128272,,P18848,ATF4_HUMAN.H11MO.0.A,ATF4_HUMAN.HepG2.sem,-1.696317454,HepG2,14.15567,ENCFF886RBI,ENCFF897NME,HOCOMOCOv11
ATF4:CREB1,ENSG00000128272;ENSG00000118260,CPX-8,P18848;P16220,M00981,M00981.sem,-3.177711,HepG2,14.1561,ENCFF000PGP,ENCFF001UVU,TRANSFAC
ATF6,ENSG00000118217,,P18850,ATF6A_HUMAN.H11MO.0.B,ATF6A_HUMAN.HepG2.sem,-0.429861733,HepG2,6.178719,ENCFF460UZH,ENCFF897NME,HOCOMOCOv11
BACH1,ENSG00000156273,,O14867,BACH1_HUMAN.H11MO.0.A,BACH1_HUMAN.H1.sem,-1.642984247,H1,9.262741,ENCFF125QXS,ENCFF983UCL,HOCOMOCOv11
BACH2,ENSG00000112182,,Q9BYV9,BACH2_HUMAN.H11MO.0.A,BACH2_HUMAN.SK-N-SH.sem,-0.411402829,SK-N-SH,4.376306,ENCFF936MSK,ENCFF752OZB,HOCOMOCOv11
BATF,ENSG00000156127,,Q16520,BATF_HUMAN.H11MO.0.A,BATF_HUMAN.GM12878.sem,-1.786229016,GM12878,81.14528,ENCFF716MIY,ENCFF759OLD,HOCOMOCOv11
BCL11A,ENSG00000119866,,Q9H165,BC11A_HUMAN.H11MO.0.A,BC11A_HUMAN.GM12878.sem,-0.78024739,GM12878,12.80732,ENCFF197TWD,ENCFF759OLD,HOCOMOCOv11
BCL6,ENSG00000113916,,P41182,BCL6_HUMAN.H11MO.0.A,BCL6_HUMAN.HepG2.sem,-0.86715362,HepG2,7.791129,ENCFF223VEK,ENCFF897NME,HOCOMOCOv11
BHLHA15,ENSG00000180535,,Q7RTS1,BHA15_HUMAN.H11MO.0.B,BHA15_HUMAN.HepG2.sem,-0.309107989,HepG2,4.446173,ENCFF990LNT,ENCFF897NME,HOCOMOCOv11
BHLHE40,ENSG00000134107,,O14503,BHE40_HUMAN.H11MO.0.A,BHE40_HUMAN.GM12878.sem,-1.941232265,GM12878,62.88895,ENCFF325FDI,ENCFF759OLD,HOCOMOCOv11
CBFB,ENSG00000067955,,Q13951,PEBB_HUMAN.H11MO.0.C,PEBB_HUMAN.GM12878.sem,-0.902291844,GM12878,17.5218,ENCFF023CDP,ENCFF759OLD,HOCOMOCOv11
CEBPA,ENSG00000245848,,P49715,CEBPA_HUMAN.H11MO.0.A,CEBPA_HUMAN.HepG2.sem,-1.820524984,HepG2,73.27589,ENCFF381JQO,ENCFF897NME,HOCOMOCOv11
CEBPB,ENSG00000172216,,P17676,CEBPB_HUMAN.H11MO.0.A,CEBPB_HUMAN.K562.sem,-2.623451263,K562,53.86597,ENCFF434POQ,ENCFF274YGF,HOCOMOCOv11
CEBPD,ENSG00000221869,,P49716,CEBPD_HUMAN.H11MO.0.C,CEBPD_HUMAN.HepG2.sem,-1.90050244,HepG2,39.19465,ENCFF344JBB,ENCFF897NME,HOCOMOCOv11
CEBPG,ENSG00000153879,,P53567,CEBPG_HUMAN.H11MO.0.B,CEBPG_HUMAN.HepG2.sem,-1.963117269,HepG2,60.26471,ENCFF544WCT,ENCFF897NME,HOCOMOCOv11
CLOCK,ENSG00000134852,,O15516,CLOCK_HUMAN.H11MO.0.C,CLOCK_HUMAN.K562.sem,-1.625936435,K562,4.09526,ENCFF208ICL,ENCFF274YGF,HOCOMOCOv11
CREB1,ENSG00000118260,,P16220,CREB1_HUMAN.H11MO.0.A,CREB1_HUMAN.GM12878.sem,-2.527732553,GM12878,113.1867,ENCFF906KGM,ENCFF759OLD,HOCOMOCOv11
CREB3L1,ENSG00000157613,,Q96BA8,CREB3L1_3,CREB3L1_3.sem,-1.001427,K562,5.165668,ENCFF404YGN,ENCFF623AFX,JOLMA_2013
CREM,ENSG00000095794,,Q03060,CREM_HUMAN.H11MO.0.C,CREM_HUMAN.K562.sem,-2.679434885,K562,97.85014,ENCFF391MFB,ENCFF274YGF,HOCOMOCOv11
CTCF,ENSG00000102974,,P49711,CTCF_HUMAN.H11MO.0.A,CTCF_HUMAN.HepG2.sem,-1.660199251,HepG2,88.52492,ENCFF704QYE,ENCFF897NME,HOCOMOCOv11
CUX1,ENSG00000257923,,P39880,CUX1_HUMAN.H11MO.0.C,CUX1_HUMAN.K562.sem,-2.138310125,K562,26.85579,ENCFF425DBM,ENCFF274YGF,HOCOMOCOv11
DBP,ENSG00000105516,,Q10586,DBP_HUMAN.H11MO.0.B,DBP_HUMAN.HepG2.sem,-0.427586424,HepG2,7.908824,ENCFF938DXB,ENCFF897NME,HOCOMOCOv11
E2F1,ENSG00000101412,,Q01094,E2F1_HUMAN.H11MO.0.A,E2F1_HUMAN.MCF-7.sem,-1.444994394,MCF-7,40.32657,ENCFF076DGM,ENCFF835KCG,HOCOMOCOv11
E2F1:RB1:TFDP1,ENSG00000139687;ENSG00000101412;ENSG00000198176,CPX-155,P06400;Q01094;Q14186,M00740,M00740.sem,-0.843689,HeLa-S3,21.46386,ENCFF000XCY,ENCFF775GBM,TRANSFAC
E2F1:TFDP1,ENSG00000101412;ENSG00000198176,CPX-1971,Q01094;Q14186,M00736,M00736.sem,-1.051355,HeLa-S3,30.07383,ENCFF000XCY,ENCFF775GBM,TRANSFAC
E2F1:TFDP2,ENSG00000101412;ENSG00000114126,,Q01094;Q14188,M00737,M00737.sem,-0.940705,HeLa-S3,24.72088,ENCFF000XCY,ENCFF775GBM,TRANSFAC
E2F2,ENSG00000007968,,Q14209,E2F2_HUMAN.H11MO.0.B,E2F2_HUMAN.HepG2.sem,-0.697951861,HepG2,21.32985,ENCFF675FOH,ENCFF897NME,HOCOMOCOv11
E2F3,ENSG00000112242,,O00716,E2F3_HUMAN.H11MO.0.A,E2F3_HUMAN.K562.sem,-1.379387912,K562,13.46299,ENCFF483LYL,ENCFF274YGF,HOCOMOCOv11
E2F4,ENSG00000205250,,Q16254,E2F4_HUMAN.H11MO.0.A,E2F4_HUMAN.HepG2.sem,-2.020514379,HepG2,45.9349,ENCFF320SYO,ENCFF897NME,HOCOMOCOv11
E2F4:TFDP1,ENSG00000205250;ENSG00000198176,CPX-7641,Q16254;Q14186,M00738,M00738.sem,-1.103261,HeLa-S3,32.43328,ENCFF000XCY,ENCFF775GBM,TRANSFAC
E2F4:TFDP2,ENSG00000205250;ENSG00000114126,,Q16254;Q14188,M00739,M00739.sem,-1.008501,HeLa-S3,29.4725,ENCFF000XCY,ENCFF775GBM,TRANSFAC
E2F5,ENSG00000133740,,Q15329,E2F5_HUMAN.H11MO.0.B,E2F5_HUMAN.HepG2.sem,-1.316335183,HepG2,27.74639,ENCFF735TUO,ENCFF897NME,HOCOMOCOv11
