tf_name,ensembl_id,uniprot_id,pwm,sem_id,cell_type
AhR,ENSG00000106546,P35869,M00778.pwm,M00778.sem,HepG2
AhR=Arnt=HIF-1,ENSG00000106546;ENSG00000143437;ENSG00000100644,P35869;P27540;Q16665,M00976.pwm,M00976.sem,HepG2
AML1,ENSG00000159216,Q01196,M00751.pwm,M00751.sem,K562
AP-1,ENSG00000130522,P17535,M00926.pwm,M00926.sem,HepG2
AP-1,ENSG00000130522,P17535,M00925.pwm,M00925.sem,HepG2
AP-1,ENSG00000130522,P17535,M00174.pwm,M00174.sem,HepG2
AP-1,ENSG00000130522,P17535,M00188.pwm,M00188.sem,HepG2
AP-1,ENSG00000130522,P17535,M00173.pwm,M00173.sem,HepG2
AP-1,ENSG00000130522,P17535,M00172.pwm,M00172.sem,HepG2
AREB6,ENSG00000148516,P37275,M00415.pwm,M00415.sem,HepG2
ARID3A,ENSG00000116017,Q99856,MA0151.1.pwm,MA0151.1.sem,HepG2
ATF2,ENSG00000115966,P15336,M00040.pwm,M00040.sem,HepG2
ATF2:c-Jun,ENSG00000115966;ENSG00000177606,P15336;P05412,M00041.pwm,M00041.sem,HepG2
c-Myb,ENSG00000118513,P10242,M00183.pwm,M00183.sem,GM12878
c-Myc,ENSG00000136997,P01106,M01154.pwm,M01154.sem,HeLa
c-Myc:Max,ENSG00000136997;ENSG00000125952,P01106;P61244,M00322.pwm,M00322.sem,HeLa
Cebpa,ENSG00000245848,P49715,MA0102.1.pwm,MA0102.1.sem,HepG2
CEBPA,ENSG00000245848,P49715,MA0102.2.pwm,MA0102.2.sem,HepG2
CREB,ENSG00000118260,P16220,M00039.pwm,M00039.sem,HepG2
CREB,ENSG00000118260,P16220,M00917.pwm,M00917.sem,HepG2
CREB,ENSG00000118260,P16220,M00801.pwm,M00801.sem,HepG2
CREB=ATF,ENSG00000128272;ENSG00000118260,P18848;P16220,M00981.pwm,M00981.sem,HepG2
CREB1,ENSG00000118260,P16220,MA0018.1.pwm,MA0018.1_A549.sem,A549
CREB1,ENSG00000118260,P16220,MA0018.1.pwm,MA0018.1_GM12878.sem,GM12878
CREB1,ENSG00000118260,P16220,MA0018.1.pwm,MA0018.1_MCF7.sem,MCF-7
CREB1,ENSG00000118260,P16220,MA0018.1.pwm,MA0018.1_H1-hESC.sem,H1-hESC
CREB1,ENSG00000118260,P16220,MA0018.1.pwm,MA0018.1_K562.sem,K562
CREB1,ENSG00000118260,P16220,MA0018.1.pwm,MA0018.1_HepG2.sem,HepG2
CREB1,ENSG00000118260,P16220,MA0018.2.pwm,MA0018.2.sem,HepG2
CREB1,ENSG00000118260,P16220,MA0018.1.pwm,MA0018.1.sem,HepG2
CREB3L1,ENSG00000157613,Q96BA8,CREB3L1_3.pwm,CREB3L1_3.sem,K562
CREB3L1,ENSG00000157613,Q96BA8,CREB3L1_2.pwm,CREB3L1_2.sem,K562
CTCF,ENSG00000102974,P49711,MA0139.1.pwm,MA0139.1.sem,NA
Dec-1,ENSG00000134107,O14503,BHLHB2_2.pwm,BHLHB2_K562.sem,K562
Dec-1,ENSG00000134107,O14503,BHLHB2_2.pwm,BHLHB2_GM12878.sem,GM12878
Dec-1,ENSG00000134107,O14503,BHLHB2_2.pwm,BHLHB2_HepG2.sem,HepG2
Dec-1,ENSG00000134107,O14503,BHLHB2_2.pwm,BHLHB2_HEK293.sem,HEK293
E2F,ENSG00000101412,Q01094,M00919.pwm,M00919.sem,HeLa
E2F,ENSG00000101412,Q01094,M00918.pwm,M00918.sem,HeLa
E2F,ENSG00000101412,Q01094,M00427.pwm,M00427.sem,HeLa
E2F,ENSG00000101412,Q01094,M00803.pwm,M00803.sem,HeLa
E2F-1,ENSG00000101412,Q01094,M00431.pwm,M00431.sem,HeLa
E2F-1,ENSG00000101412,Q01094,M00940.pwm,M00940.sem,HeLa
E2F-1,ENSG00000101412,Q01094,M00939.pwm,M00939.sem,HeLa
E2F-1,ENSG00000101412,Q01094,M00430.pwm,M00430.sem,HeLa
